State,Tags,MinimumWage,Effective Date,Comment
NY,,14.2,01/01/2023,"$15.00 for NYC, Long Island & Westchester County"
GA,,7.25,01/01/2023,Federal - No State Minimum
FL,,11,01/01/2023,
FL,,12,09/30/2023,
HI,,12,01/01/2023,"An employee earning a guaranteed monthly compensation of $2,000 or more is exempt from the State minimum wage and overtime law."
ID,,7.25,01/01/2023,
IL,,13,01/01/2023,"Applicable to employers of 4 or more employees, excluding family members"
IN,,7.25,01/01/2023,
